0;1;2;3;4;5;6
school ;police ;court ;food ;u ;trump ;u 
 child ; man ; case ; way ; health ; president ; country 
 student ; music ; state ; thing ; company ; clinton ; war 
 health ; woman ; u ; good ; state ; state ; day 
 woman ; way ; north ; world ; country ; campaign ; city 
 study ; black ; virus ; company ; care ; house ; world 
 patient ; life ; water ; lot ; percent ; election ; attack 
 drug ; story ; law ; day ; plan ; republican ; group 
 family ; thing ; zika ; human ; trump ; obama ; government 
 way ; song ; china ; big ; insurance ; white ; military 
 thing ; good ; disease ; kind ; job ; party ; woman 
 percent ; book ; government ; different ; tax ; voter ; force 
 university ; day ; country ; ve ; law ; candidate ; family 
 kid ; right ; right ; little ; million ; u ; way 
 parent; officer; korea; animal; federal; donald; home
